"","X","GEOID","NAME","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","PLACEFIPS","ProtestTotal","PostGFProtestCount","VictimsCount","BlackVictimCount","VictimCountPreGF","BlackVictimCountPreGF","VictimsPreGF2020","VictimHighThreat","AntiTrumpProtestPreGFCount","VictimsPreGF2020Blk","ProtestTotalPreGF","CollegeEdTotal","EduRate","BlackPopPct","BlackPovRate","PoliceDeathsRate","BlackVictimsRate","VictimRaceRatio"
"516",2812,2458900,"Olney CDP, Maryland",35191,4361,4341,7489,24385,4954,1447,1188,1929,2458900,12,5,0,0,0,0,0,0,6,0,12,15078,0.618330941152348,0.123923730499275,0.995413895895437,0,0,NA
"517",2817,2455018,"National Harbor CDP, Maryland",4296,2514,2512,656,3314,608,116,14,56,2455018,2,1,0,0,0,0,0,0,0,0,2,1394,0.420639710319855,0.585195530726257,0.99920445505171,0,0,NA
"518",2825,2401600,"Annapolis city, Maryland",39278,8550,8457,6899,27719,4174,1058,964,1806,2401600,103,13,0,0,0,0,0,0,49,0,103,13095,0.472419639958151,0.217679107897551,0.989122807017544,0,0,NA
"519",2826,2420875,"Crofton CDP, Maryland",29136,4996,4883,6370,19493,3617,781,691,1454,2420875,3,3,1,0,1,0,0,0,0,0,3,11459,0.58785204945365,0.171471718835805,0.97738190552442,3.43218012081274e-05,0,0
"520",2827,2424475,"Easton town, Maryland",16591,1959,1825,2380,11662,1188,341,365,735,2424475,6,3,0,0,0,0,0,0,3,0,6,4274,0.366489452924027,0.118076065336628,0.9315977539561,0,0,NA
"521",2828,2476550,"Sykesville town, Maryland",3939,100,87,1011,2712,283,37,46,151,2476550,4,4,0,0,0,0,0,0,0,0,4,1377,0.507743362831858,0.0253871541000254,0.87,0,0,NA
"522",2829,2471200,"Severna Park CDP, Maryland",38188,1134,1110,8482,25455,5597,1152,505,1534,2471200,9,5,0,0,0,0,0,0,2,0,9,15736,0.618188960911412,0.029695192206976,0.978835978835979,0,0,NA
"523",2831,2476725,"Taneytown city, Maryland",6787,259,236,758,4580,295,26,0,232,2476725,1,1,0,0,0,0,0,0,0,0,1,1079,0.235589519650655,0.0381611905112716,0.911196911196911,0,0,NA
"524",2836,2458225,"Ocean City town, Maryland",6972,126,122,1243,5835,505,110,23,267,2458225,14,2,0,0,0,0,0,0,10,0,14,1881,0.322365038560411,0.0180722891566265,0.968253968253968,0,0,NA
"525",2840,2478050,"Timonium CDP, Maryland",10557,494,289,2483,7957,1298,471,363,309,2478050,5,2,0,0,0,0,0,0,3,0,5,4615,0.579992459469649,0.0467935966657194,0.58502024291498,0,0,NA
