"","City","ProtestSize"
"864","El Cerrito, CA",NA
"865","El Dorado, AK",NA
"866","El Dorado, AR",NA
"867","El Monte, CA",NA
"868","El Paso, TX",NA
"869","El Segundo, CA",100
"870","Elburn, IL",200
"871","Elgin, IL",NA
"872","Elizabeth City, NC",200
"873","Elizabeth, NJ",200
"874","Elizabethton, TN",NA
"875","Elizabethtown, KY",NA
"876","Elizabethtown, NY",80
"877","Elizabethtown, PA",250
"878","Elk Grove Village, IL",90
"879","Elkhart, IN",150
"880","Elkin, NC",NA
"881","Elko, NV",NA
"882","Elkton, MD",NA
"883","Ellensburg, WA",NA
"884","Ellington, CT",NA
"885","Ellsworth, ME",NA
"886","Ellwood City, PA",45.3333333333333
"887","Elmhurst, IL",200
"888","Elmira, NY",NA
"889","Elsmere, KY",200
"890","Ely, WI",250
"891","Elyria, OH",8
"892","Emmaus, PA",NA
"893","Emporia, KS",NA
"894","Encinitas, CA",NA
"895","Encino, CA",NA
"896","Endicott, NY",35
"897","Enfield, CT",350
"898","Englewood, CO",NA
"899","Englewood, NJ",600
"900","Englewood, OH",200
"901","Enid, OK",NA
"902","Enterprise, OR",200
"903","Ephrata, PA",NA
"904","Erie, CO",1000
"905","Erie, PA",NA
"906","Erlanger, KY",24
"907","Escanaba, MI",118
"908","Escondido, CA",212
"909","Española, NM",NA
"910","Essex Junction, VT",NA
"911","Essex, MA",NA
"912","Essex, VT",300
"913","Estacada, OR",NA
"914","Estes Park, CO",NA
"915","Euclid, OH",NA
"916","Eugene, OR",NA
"917","Eureka, CA",70
"918","Eureka, MO",NA
"919","Evans, GA",NA
"920","Evanston, IL",1122
"921","Evansville, IN",NA
"922","Everett, MA",150
"923","Everett, WA",NA
"924","Evergreen Park, IL",200
"925","Evergreen, CO",NA
"926","Exeter, PA",85
"927","Exmore, VA",150
"928","Fair Lawn, NJ",40
"929","Fairbanks, AK",NA
"930","Fairborn, OH",NA
"931","Fairfax, CA",NA
"932","Fairfax, VA",NA
"933","Fairfield, CA",NA
"934","Fairfield, CT",NA
"935","Fairfield, IA",400
"936","Fairfield, OH",NA
"937","Fairmont, NC",50
"938","Fairmont, WV",NA
"939","Fairport, NY",6
"940","Fall River, MA",NA
"941","Fallon, NV",70
"942","Falls Church, MD",NA
"943","Falls Church, VA",2000
"944","Fallston, MD",100
"945","Falmouth, MA",NA
"946","Fargo, ND",NA
"947","Farmingdale, NY",NA
"948","Farmington, CT",180
"949","Farmington, MO",NA
"950","Farmington, NM",NA
"951","Farmville, VA",80
"952","Farrell, PA",NA
"953","Fayetteville, AR",NA
"954","Fayetteville, NC",NA
"955","Fayetteville, WV",40
"956","Federal Way, WA",200
"957","Felton, CA",NA
"958","Fergus Falls, MN",150
"959","Ferguson, MO",NA
"960","Ferndale, MI",1100
"961","Ferndale, WA",NA
"962","Ferrisburgh, VT",NA
"963","Festus, MO",200
"964","Findlay, OH",NA
"965","Fircrest, WA",NA
