"","PLACEFIPS","PostGFProtestCount"
"1412","2283405",1
"1413","2302060",4
"1414","2302100",11
"1415","2302795",15
"1416","2302830",4
"1417","2303355",9
"1418","2303950",38
"1419","2306925",4
"1420","2307135",1
"1421","2308395",3
"1422","2308780",18
"1423","2309690",4
"1424","2310320",2
"1425","2310565",2
"1426","2312770",1
"1427","2315500",1
"1428","2316200",1
"1429","2318230",1
"1430","2321730",2
"1431","2323200",4
"1432","2324285",1
"1433","2324740",31
"1434","2325720",1
"1435","2326875",1
"1436","2328205",1
"1437","2330060",1
"1438","2330760",3
"1439","2333945",2
"1440","2336500",3
"1441","2338740",7
"1442","2341925",1
"1443","2342485",1
"1444","2342625",1
"1445","2348610",3
"1446","2353965",2
"1447","2355225",1
"1448","2355575",3
"1449","2360545",33
"1450","2360825",4
"1451","2363590",6
"1452","2364675",1
"1453","2365725",2
"1454","2368875",1
"1455","2371780",2
"1456","2371990",2
"1457","2376925",1
"1458","2380740",3
"1459","2386480",1
"1460","2386935",5
"1461","2387040",2
"1462","2401600",24
"1463","2401975",1
"1464","2404000",114
"1465","2405550",6
"1466","2406800",1
"1467","2407125",21
"1468","2408775",1
"1469","2411750",1
"1470","2412400",4
"1471","2413000",1
"1472","2414125",1
"1473","2415925",1
"1474","2416225",2
"1475","2416787",2
"1476","2417900",2
"1477","2418250",2
"1478","2418750",3
"1479","2419125",3
"1480","2420875",3
"1481","2421325",6
"1482","2421475",1
"1483","2422050",1
"1484","2422725",1
"1485","2423975",1
"1486","2424475",4
